School,Nickname,City,State/Province,Conference,Division
Fayetteville State University,Broncos,Fayetteville,North Carolina,Central Intercollegiate Athletic Association,2
Felician University,Golden Falcons,Rutherford,New Jersey,Central Atlantic Collegiate Conference,2
Ferris State University,Bulldogs,Big Rapids,Michigan,Great Lakes Intercollegiate Athletic Conference,2
University of Findlay,Oilers,Findlay,Ohio,Great Midwest Athletic Conference,2
Flagler College,Saints,St. Augustine,Florida,Peach Belt Conference,2
Florida Southern College,Moccasins,Lakeland,Florida,Sunshine State Conference,2
Florida Institute of Technology,Panthers,Melbourne,Florida,Sunshine State Conference,2
Fort Hays State University,Tigers,Hays,Kansas,Mid-America Intercollegiate Athletics Association,2
Fort Lewis College,Skyhawks,Durango,Colorado,Rocky Mountain Athletic Conference,2
Fort Valley State University,Wildcats,Fort Valley,Georgia,Southern Intercollegiate Athletic Conference,2
Francis Marion University,Patriots,Florence,South Carolina,Peach Belt Conference,2
Franklin Pierce University,Ravens,Rindge,New Hampshire,Northeast-10 Conference,2
Fresno Pacific University,Sunbirds,Fresno,California,Pacific West Conference,2
Gannon University,Golden Knights,Erie,Pennsylvania,Pennsylvania State Athletic Conference,2
Georgia College & State University,Bobcats,Milledgeville,Georgia,Peach Belt Conference,2
Georgia Southwestern State University,Hurricanes,Americus,Georgia,Peach Belt Conference,2
Georgian Court University,Lions,Lakewood,New Jersey,Central Atlantic Collegiate Conference,2
Glenville State College,Pioneers,Glenville,West Virginia,Mountain East Conference,2
Goldey–Beacom College,Lightning,Pike Creek Valley,Delaware,Central Atlantic Collegiate Conference,2
Grand Valley State University,Lakers,Allendale,Michigan,Great Lakes Intercollegiate Athletic Conference,2
Harding University,Bisons & Lady Bisons,Searcy,Arkansas,Great American Conference,2
Hawai'i Pacific University,Sharks,Honolulu,Hawai'i,Pacific West Conference,2
University of Hawai'i at Hilo,Vulcans,Hilo,Hawai'i,Pacific West Conference,2
Henderson State University,Reddies,Arkadelphia,Arkansas,Great American Conference,2
Hillsdale College,Chargers,Hillsdale,Michigan,Great Midwest Athletic Conference,2
Holy Family University,Tigers,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,2
Holy Names University,Hawks,Oakland,California,Pacific West Conference,2
Humboldt State University,Lumberjacks,Arcata,California,California Collegiate Athletic Association,2
University of Illinois at Springfield,Prairie Stars,Springfield,Illinois,Great Lakes Valley Conference,2
Indiana University of Pennsylvania,Crimson Hawks,Indiana,Pennsylvania,Pennsylvania State Athletic Conference,2
University of Indianapolis,Greyhounds,Indianapolis,Indiana,Great Lakes Valley Conference,2
Johnson C. Smith University,Golden Bulls,Charlotte,North Carolina,Central Intercollegiate Athletic Association,2
Kentucky State University,Thorobreds & Thorobrettes,Frankfort,Kentucky,Southern Intercollegiate Athletic Conference,2
Kentucky Wesleyan College,Panthers,Owensboro,Kentucky,Great Midwest Athletic Conference,2
King University,Tornados,Bristol,Tennessee,Conference Carolinas,2
Kutztown University of Pennsylvania,Golden Bears,Kutztown,Pennsylvania,Pennsylvania State Athletic Conference,2
Lake Erie College,Storm,Painesville,Ohio,Great Midwest Athletic Conference,2
Lake Superior State University,Lakers,Sault Ste. Marie,Michigan,Great Lakes Intercollegiate Athletic Conference,2
Lander University,Bearcats,Greenwood,South Carolina,Peach Belt Conference,2
Lane College,Dragons,Jackson,Tennessee,Southern Intercollegiate Athletic Conference,2
Le Moyne College,Dolphins,Syracuse,New York,Northeast-10 Conference,2
Lee University,Flames,Cleveland,Tennessee,Gulf South Conference,2
Lees–McRae College,Bobcats,Banner Elk,North Carolina,Conference Carolinas,2
LeMoyne–Owen College,Magicians,Memphis,Tennessee,Southern Intercollegiate Athletic Conference,2
Lenoir–Rhyne University,Bears,Hickory,North Carolina,South Atlantic Conference,2
Lewis University,Flyers,Romeoville,Illinois,Great Lakes Valley Conference,2
Limestone College,Saints,Gaffney,South Carolina,Conference Carolinas,2
Lincoln University (MO),Blue Tigers,Jefferson City,Missouri,Mid-America Intercollegiate Athletics Association,2
Lincoln University (PA),Lions,Chester County,Pennsylvania,Central Intercollegiate Athletic Association,2
